"hdp_1" "hdp_2" "hdp_3" "hdp_4" "hdp_5" "hdp_6" "hdp_7" "hdp_8" "hdp_9" "hdp_10" "hdp_11" "hdp_12" "hdp_13" "hdp_14" "hdp_15" "hdp_16"
0.000586599326655485 0.00265667933389886 0.00683933025582817 0.0436192095457872 1.48493788652643e-05 0.0965759692432518 0.00026414750827705 2.55795637065542e-05 0.0647875669445995 0.000131475122145628 0.0018043756752098 0.000107449674524527 0.000863038240489634 0.0217280418676558 0.430397439278222 0.000616981978039188
0.00273543397255745 0.000948320447311409 0.00348487672200957 0.0452045709841336 1.80318542713128e-05 0.000890785531645304 0.000386076896869149 0.000180584320400045 0.000216117105604056 0.0093007271955159 0.000114451704439486 0.000270067928831857 0.000362317159268139 0.0102361083886972 0.0308641163317187 0.000377299962922027
6.20135029353948e-05 0.000955104341192022 0.000310603163714979 0.00879137997021068 1.92634841944796e-06 8.92390226223929e-05 0.000100242724103097 2.94711283389311e-05 2.49774174832439e-05 6.7896366148262e-05 8.44609334481115e-05 0.000153945817192847 0.0185369607143641 7.48199941913475e-05 0.000205464785328737 0.000349333698409681
6.39486472920621e-05 0.00129705526410232 0.00129491915676781 0.0349867044092301 3.71958621150075e-05 0.057242193974077 0.000122160256614388 0.000659417306570086 3.80442418628597e-05 9.18666843413266e-06 0.000538808273636148 6.83144606012176e-05 0.000174754876666078 7.17531379276774e-05 0.362759061723459 0.000809323338555436
1.19911956912507e-05 0.00626439061997245 0.0082304809997813 0.0318292805281268 2.48050966483566e-05 0.079177392156498 0.00067378078662332 6.45389529564547e-05 0.632803047879587 0.0022346865242059 0.00996074962237341 0.00180441040875379 0.00912917696858902 7.2840610762843e-05 0.00951590525373724 0.00083042874105552
4.24901372117619e-05 0.00280025091218133 0.00259032432593668 0.0277824307389434 5.5604612383505e-06 0.0042238938378607 0.00165462290865607 3.47557311121295e-05 8.39311887519322e-05 0.00015878999849792 0.000293607869944282 8.18054921188847e-05 0.0311237774764403 0.0022986611576878 0.000595799513734682 0.000337093636259981
1.55461748030017e-05 0.00130056849337064 0.00327820831584917 0.00111060968583573 2.87306486131546e-05 0.00222663635833237 0.00608145834529824 3.24670862695457e-05 0.000504359613938366 6.09421897746182e-06 0.000145255870753439 6.11199435791233e-05 0.000151585728036311 2.65685585932652e-05 0.000144278125641953 9.36637209813521e-05
7.9747334813881e-05 0.00296452661353248 0.00445770527382768 0.0309975896695797 6.28789273088448e-05 0.0647991200255763 0.000307195260557056 9.69381013553133e-05 0.00155145011717428 0.000179315570734525 5.03415268163479e-05 0.000121649523173624 0.00136878009748111 0.0162395291451155 0.0140206894334554 0.000192133678918557
5.25610270204211e-05 0.0105216871378472 0.0089778295384625 0.012109387941502 0.00165314948499204 0.148142615526729 6.61361357764602e-05 0.000304129924262887 0.125322531940768 0.000171580987449484 0.00120645776585261 0.000387173778707546 0.00102792941660512 0.0830039979246184 0.00111186849032326 0.00301896926229555
0.000106686672396248 0.00314949152695841 0.00295688161896813 0.0183312405365843 0.00828181548396498 0.0266105852944353 0.000135974019348923 0.000176037027108184 0.0113703814546652 6.91051917214373e-05 0.00240862977289842 0.000123393491608066 3.23770380934549e-05 0.0248981832891877 0.00202424493663692 0.000634552538919017
9.48363606336969e-05 0.00329385273884334 0.00223200547672893 0.000353806492844405 2.77879431050502e-06 0.0107476670417342 0.000449714362225803 2.97371131867264e-05 0.00681566497744383 1.24281032779619e-05 0.000298312093114446 8.97335999884684e-05 0.0127175242131843 1.00948555730914e-05 0.000239877808206627 0.000136828002274587
